C1	C2	Kezdõ oldal	Típus	Évszám	Kibocsátó	Szám	Közlöny	Közlöny sorszám	Közlönybeli sorszám	Évfolyam	Kihirdetés	Hatályba	Hat.kiv.dat.	Jelzõ	Oszlop	Filenév	Azonnali közzététel	Felsõoktatás	Köznevelés	Kultúra	Felnõttképzés	Szociális	
																							
2018. évi CIV. törvény 	egyes kutatás-fejlesztéssel, valamint szakképzéssel összefüggõ törvények módosításáról	245	00	2018	00	104	53	2	1	2019	2019.02.01							·	·				
2018. évi CVI. törvény 	egyes kulturális tárgyú törvények módosításáról	250	00	2018	00	106	53	2	2	2019	2019.02.01									·			
2018. évi CIX. törvény 	a Magyarország és a Kínai Népköztársaság között a Fudan Egyetem magyarországi felsõoktatási tevékenységének támogatásáról szóló Megállapodás kihirdetésérõl	254	00	2018	00	109	53	2	3	2019	2019.02.01							·					
2018. évi CXII. törvény 	filmalkotások készítésével és terjesztésével kapcsolatos egyes törvények módosításáról	257	00	2018	00	112	53	2	4	2019	2019.02.01									·			
2018. évi CXVII. törvény 	egyes szociális, gyermekvédelmi tárgyú, valamint egyéb kapcsolódó törvények módosításáról	269	00	2018	00	117	53	2	5	2019	2019.02.01											·	
2018. évi CXIX.törvény 	egyes családtámogatási és nyugdíjbiztosítási tárgyú törvények módosításáról	294	00	2018	00	119	53	2	6	2019	2019.02.01											·	
250/2018. (XII. 17.) Korm. rendelet 	az egyes központi hivatalok és költségvetési szervi formában mûködõ minisztériumi háttérintézmények felülvizsgálatával összefüggõ jogutódlásáról, valamint egyes közfeladatok átvételérõl szóló 378/2016. (XII. 2.) Korm. rendelet módosításáról	300	20	2018	22	250	53	2	7	2019	2019.02.01									·			
253/2018. (XII. 17.) Korm. rendelet 	a felsõoktatási intézmények alaptevékenységének finanszírozásáról szóló 389/2016. (XII. 2.) Korm. rendelet módosításáról	303	20	2018	22	253	53	2	8	2019	2019.02.01							·					
266/2018. (XII. 20.) Korm. rendelet 	az államtudományi képzési terület alap- és mesterképzési szakjainak meghatározásáról és azok képzési és kimeneti követelményeirõl, valamint az azzal összefüggõ kormányrendeletek módosításáról szóló 282/2016. (IX. 21.) Korm. rendelet módosításáról	305	20	2018	22	266	53	2	9	2019	2019.02.01							·					
