C1	C2	Kezdõ oldal	Típus	Évszám	Kibocsátó	Szám	Közlöny	Közlöny sorszám	Közlönybeli sorszám	Évfolyam	Kihirdetés	Hatályba	Hat.kiv.dat.	Jelzõ	Oszlop	Filenév	Azonnali közzététel	Felsõoktatás	Köznevelés	Kultúra	Felnõttképzés	Szociális	
1670/2018. (XII. 10.) Korm. határozat 	a Bethlen Gábor Alapkezelõ Nonprofit Zrt. mûködési célú kiadásainak fedezete céljából a XX. Emberi Erõforrások Minisztériuma fejezet, a XI. Miniszterelnökség fejezet és a LXV. Bethlen Gábor Alap fejezet közötti elõirányzat-átcsoportosításról	200	30	2018	22	1670	53	1	26	2019	2019.01.11							·	·	·			
1671/2018. (XII. 10.) Korm. határozat 	a Gyermek és Ifjúsági Alapprogram Tanácsáról szóló 1292/2012. (VIII. 13.) Korm. határozat módosításáról	203	30	2018	22	1671	53	1	27	2019	2019.01.11								·			·	
514/2018. (XII. 12.) KE határozat 	kitüntetés adományozásáról	204	30	2018	76	514	53	1	28	2019	2019.01.11							·		·			
34/2018. (XII. 13.) OGY határozat 	a magyar–székely egység napjáról	205	30	2018	41	34	53	1	29	2019	2019.01.11									·			
32/2018. (XII. 13.) EMMI utasítás 	miniszteri biztos kinevezésérõl	206	B0	2018	5H	32	53	1	30	2019	2019.01.11									·			
2019. OKK 1. szám szám pályázati felhívás 1	Felsõoktatási intézmény vezetõi álláshelyének betöltésére	207	PF	2019	FD	530101	53	1	31	2019	2019.01.11	2019.01.11					2019.01.11	·					
2019. OKK 1. szám szám pályázati felhívás 2	Nevelési-oktatási és egyéb intézmény vezetõi álláshelyének betöltésére	210	PF	2019	FD	530102	53	1	32	2019	2019.01.11	2019.01.11					2019.01.11		·				
2019. OKK 1. szám ME pályázati felhívás	A 2019. évi Magyar Közigazgatási Ösztöndíjprogramra 	213	PF	2019	63	530103	53	1	33	2019	2019.01.11	2019.01.11						·					
2019. OKK 1. szám ME közlemény	A 2019. évi Magyar Közigazgatási Ösztöndíjprogram ösztöndíja összegérõl	215	C0	2019	63	530104	53	1	34	2019	2019.01.11	2019.01.11						·					
2019. OKK 1. szám közlemény 1	Az Országos tanulmányi versenyek meghirdetése a 2018/2019. tanévre címû közlemény helyesbítésérõl	216	C0	2019	FD	530105	53	1	35	2019	2019.01.11	2019.01.11					2019.01.11		·				
2019. OKK 1. szám EMMI határozat 1	Az emberi erõforrások minisztere EMMI határozata a 2019. évben mesterképzésre felvehetõ magyar állami ösztöndíjjal támogatott hallgatói létszám felsõoktatási intézmények közötti elosztásáról 	217	30	2019	5H	530106	53	1	36	2019	2019.01.11	2019.01.11					2019.01.11	·					
2019. OKK 1. szám EMMI határozat 2	Az emberi erõforrások minisztere EMMI határozata a 2019. évben magyar állami ösztöndíjjal támogatható felsõoktatási képzésekrõl	219	30	2019	5H	530107	53	1	37	2019	2019.01.11	2019.01.11					2019.01.11	·					
2019. OKK 1. szám EMMI határozat 3	Az emberi erõforrások minisztere EMMI határozata a 2019. évi magyar állami ösztöndíjjal támogatott doktori képzésre felvehetõ hallgatói létszám felsõoktatási intézmények közötti megosztásáról	227	30	2019	5H	530108	53	1	38	2019	2019.01.11	2019.01.11					2019.01.11	·					
2019. OKK 1. szám közlemény 2	Az Oktatási Hivatal pályázata az Országos érettségi vizsgaelnöki névjegyzékbe történõ felvételre és a nyilvántartás megújítására	229	C0	2019	FD	530109	53	1	39	2019	2019.01.11	2019.01.11					2019.01.11		·				
2019. OKK 1. szám közlemény 3	A Debreceni Egyetem közleménye habilitált doktori címet szerzettekrõl	233	C0	2019	FD	530110	53	1	40	2019	2019.01.11	2019.01.11					2019.01.11	·					
47/2018. (XII. 13.) KKM közlemény	A Magyarország Kormánya és Grenada Kormánya között a Stipendium Hungaricum ösztöndíjak biztosításáról szóló Megállapodás hatálybalépésérõl	234	C0	2018	6Q	47	53	1	41	2019	2019.01.11							·					
2019. OKK 1. szám pályázati felhívás 3	Nevelési-oktatási és egyéb intézmény vezetõi álláshelyének betöltésére	235	PF	2019	FD	530111	53	1	42	2019	2019.01.11	2019.01.11					2019.01.11		·				
